2,1,1,17,0,1615292298,False,IN_SERVICE,1,1,1,1,0
3,4,0,16,0,1615292240,False,IN_SERVICE,1,1,1,4,0
4,5,1,14,0,1615292147,False,IN_SERVICE,1,1,1,5,0
5,27,0,13,1,1615292286,False,IN_SERVICE,1,1,1,27,0
6,3,0,17,0,1615292135,False,IN_SERVICE,1,1,1,3,0
7,0,0,16,0,1615292181,False,IN_SERVICE,1,1,1,0,0
8,5,1,18,0,1615292295,False,IN_SERVICE,1,1,1,5,0
9,0,1,23,0,1615292197,False,IN_SERVICE,1,1,1,0,0
12,1,0,15,0,1615292233,False,IN_SERVICE,1,1,1,1,0
13,1,0,29,0,1615292048,False,IN_SERVICE,1,1,1,1,0
14,9,2,18,0,1615292275,False,IN_SERVICE,1,1,1,9,0
16,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
17,1,2,17,0,1615292287,False,IN_SERVICE,1,1,1,1,0
18,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
20,7,0,13,0,1615292091,False,IN_SERVICE,1,1,1,7,0
21,11,2,11,0,1615292169,False,IN_SERVICE,1,1,1,11,0
22,1,0,19,0,1615292150,False,IN_SERVICE,1,1,1,1,0
23,2,1,8,0,1615292158,False,IN_SERVICE,1,1,1,2,0
24,0,0,18,0,1615292134,False,IN_SERVICE,1,1,1,0,0
25,6,2,16,0,1615292222,False,IN_SERVICE,1,1,1,6,0
26,4,0,20,0,1615292256,False,IN_SERVICE,1,1,1,4,0
27,0,0,16,0,1615292088,False,IN_SERVICE,1,1,1,0,0
29,3,1,26,0,1615292295,False,IN_SERVICE,1,1,1,3,0
30,0,0,20,0,1615292072,False,IN_SERVICE,1,1,1,0,0
32,4,1,11,0,1615292074,False,IN_SERVICE,1,1,1,4,0
33,0,1,19,0,1615292258,False,IN_SERVICE,1,1,1,0,0
34,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
35,4,0,15,0,1615292210,False,IN_SERVICE,1,1,1,4,0
38,1,0,19,0,1615292293,False,IN_SERVICE,1,1,1,1,0
41,7,1,11,0,1615292250,False,IN_SERVICE,1,1,1,7,0
42,1,0,17,0,1615292081,False,IN_SERVICE,1,1,1,1,0
43,14,0,6,0,1615292220,False,IN_SERVICE,1,1,1,14,0
44,2,0,18,0,1615292192,False,IN_SERVICE,1,1,1,2,0
45,0,1,19,0,1615292302,False,IN_SERVICE,1,1,1,0,0
46,2,1,15,0,1615292300,False,IN_SERVICE,1,1,1,2,0
48,6,0,10,0,1615292230,False,IN_SERVICE,1,1,1,6,0
50,0,0,20,0,1615292182,False,IN_SERVICE,1,1,1,0,0
51,3,0,9,0,1615292146,False,IN_SERVICE,1,1,1,3,0
54,0,3,17,0,1615292160,False,IN_SERVICE,1,1,1,0,0
56,11,0,5,0,1615292225,False,IN_SERVICE,1,1,1,11,0
58,3,0,17,0,1615292234,False,IN_SERVICE,1,1,1,3,0
59,0,0,20,0,1615292253,False,IN_SERVICE,1,1,1,0,0
60,4,0,16,0,1615292200,False,IN_SERVICE,1,1,1,4,0
63,4,0,16,0,1615292285,False,IN_SERVICE,1,1,1,4,0
64,0,0,20,0,1615292002,False,IN_SERVICE,1,1,1,0,0
65,2,0,18,0,1615292201,False,IN_SERVICE,1,1,1,2,0
66,2,2,16,0,1615292227,False,IN_SERVICE,1,1,1,2,0
67,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
69,1,0,15,0,1615292278,False,IN_SERVICE,1,1,1,1,0
70,2,2,16,0,1615292313,False,IN_SERVICE,1,1,1,2,0
71,6,0,24,0,1615292090,False,IN_SERVICE,1,1,1,6,0
73,0,0,16,0,1615292295,False,IN_SERVICE,1,1,1,0,0
74,7,2,21,1,1615292113,False,IN_SERVICE,1,1,1,7,0
75,1,0,17,0,1615292308,False,IN_SERVICE,1,1,1,1,0
76,0,0,20,0,1615292176,False,IN_SERVICE,1,1,1,0,0
79,1,0,29,0,1615292106,False,IN_SERVICE,1,1,1,1,0
80,0,0,16,0,1615292147,False,IN_SERVICE,1,1,1,0,0
81,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
82,1,1,18,0,1615292187,False,IN_SERVICE,1,1,1,1,0
83,3,0,16,0,1615292262,False,IN_SERVICE,1,1,1,3,0
84,1,1,17,0,1615292088,False,IN_SERVICE,1,1,1,1,0
85,0,0,20,0,1615292310,False,IN_SERVICE,1,1,1,0,0
86,0,2,18,0,1615292203,False,IN_SERVICE,1,1,1,0,0
87,2,0,13,0,1615292024,False,IN_SERVICE,1,1,1,2,0
89,4,0,14,0,1615292304,False,IN_SERVICE,1,1,1,4,0
91,1,0,19,0,1615292091,False,IN_SERVICE,1,1,1,1,0
92,19,1,0,0,1615292238,False,IN_SERVICE,1,1,1,19,0
93,1,4,14,0,1615292147,False,IN_SERVICE,1,1,1,1,0
94,19,0,11,0,1615292157,False,IN_SERVICE,1,1,1,19,0
95,3,0,13,0,1615292245,False,IN_SERVICE,1,1,1,3,0
96,0,2,18,0,1615292264,False,IN_SERVICE,1,1,1,0,0
98,11,0,5,0,1615292256,False,IN_SERVICE,1,1,1,11,0
99,9,0,11,0,1615292141,False,IN_SERVICE,1,1,1,9,0
100,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
101,2,0,17,0,1615292207,False,IN_SERVICE,1,1,1,2,0
103,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
104,0,1,29,0,1615292271,False,IN_SERVICE,1,1,1,0,0
107,8,0,8,0,1615292190,False,IN_SERVICE,1,1,1,8,0
111,0,0,30,0,1615292232,False,IN_SERVICE,1,1,1,0,0
112,0,0,20,0,1615292222,False,IN_SERVICE,1,1,1,0,0
114,0,0,20,0,1615292130,False,IN_SERVICE,1,1,1,0,0
116,1,0,11,0,1615292104,False,IN_SERVICE,1,1,1,1,0
117,0,1,15,0,1615292308,False,IN_SERVICE,1,1,1,0,0
118,0,0,20,0,1615292206,False,IN_SERVICE,1,1,1,0,0
120,7,1,12,0,1615292127,False,IN_SERVICE,1,1,1,7,0
121,2,3,14,0,1615292260,False,IN_SERVICE,1,1,1,2,0
124,4,2,12,0,1615292277,False,IN_SERVICE,1,1,1,4,0
126,13,1,2,0,1615292114,False,IN_SERVICE,1,1,1,13,0
128,1,0,19,0,1615292287,False,IN_SERVICE,1,1,1,1,0
130,7,0,33,0,1615292274,False,IN_SERVICE,1,1,1,7,0
131,1,1,14,0,1615292182,False,IN_SERVICE,1,1,1,1,0
132,12,0,0,0,1615292278,False,IN_SERVICE,1,1,1,12,0
134,0,3,17,0,1615292309,False,IN_SERVICE,1,1,1,0,0
135,8,0,12,0,1615292203,False,IN_SERVICE,1,1,1,8,0
137,4,0,16,0,1615292239,False,IN_SERVICE,1,1,1,4,0
138,3,0,9,0,1615292211,False,IN_SERVICE,1,1,1,3,0
144,1,0,19,0,1615292106,False,IN_SERVICE,1,1,1,1,0
146,0,3,17,0,1615292128,False,IN_SERVICE,1,1,1,0,0
147,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
149,1,0,15,0,1615292060,False,IN_SERVICE,1,1,1,1,0
150,5,0,25,0,1615292269,False,IN_SERVICE,1,1,1,5,0
151,11,0,13,0,1615292073,False,IN_SERVICE,1,1,1,11,0
152,0,0,20,0,1615292311,False,IN_SERVICE,1,1,1,0,0
153,7,0,9,0,1615292068,False,IN_SERVICE,1,1,1,7,0
155,15,3,1,0,1615292228,False,IN_SERVICE,1,1,1,15,0
156,7,1,12,0,1615292217,False,IN_SERVICE,1,1,1,7,0
158,15,0,5,0,1615292055,False,IN_SERVICE,1,1,1,15,0
161,0,0,20,0,1615292270,False,IN_SERVICE,1,1,1,0,0
162,2,0,18,0,1615292275,False,IN_SERVICE,1,1,1,2,0
163,3,0,27,0,1615292230,False,IN_SERVICE,1,1,1,3,0
164,4,0,16,0,1615292152,False,IN_SERVICE,1,1,1,4,0
